"Step","cfq/curr_chia_htl_20 - validation/test/accuracy/total","cfq/curr_chia_htl_20 - validation/test/accuracy/total__MIN","cfq/curr_chia_htl_20 - validation/test/accuracy/total__MAX","cfq/curr_chia_etl_20 - validation/test/accuracy/total","cfq/curr_chia_etl_20 - validation/test/accuracy/total__MIN","cfq/curr_chia_etl_20 - validation/test/accuracy/total__MAX","cfq/curr_chia_amb_20 - validation/test/accuracy/total","cfq/curr_chia_amb_20 - validation/test/accuracy/total__MIN","cfq/curr_chia_amb_20 - validation/test/accuracy/total__MAX","cfq_full_42 - validation/test/accuracy/total","cfq_full_42 - validation/test/accuracy/total__MIN","cfq_full_42 - validation/test/accuracy/total__MAX","curr/cfq/inv_ppl_htl_20 - validation/test/accuracy/total","curr/cfq/inv_ppl_htl_20 - validation/test/accuracy/total__MIN","curr/cfq/inv_ppl_htl_20 - validation/test/accuracy/total__MAX","curr/cfq/inv_ppl_etl_20 - validation/test/accuracy/total","curr/cfq/inv_ppl_etl_20 - validation/test/accuracy/total__MIN","curr/cfq/inv_ppl_etl_20 - validation/test/accuracy/total__MAX","curr/cfq/inv_ppl_amb_20 - validation/test/accuracy/total","curr/cfq/inv_ppl_amb_20 - validation/test/accuracy/total__MIN","curr/cfq/inv_ppl_amb_20 - validation/test/accuracy/total__MAX","curr/cfq/bleu_htl_20 - validation/test/accuracy/total","curr/cfq/bleu_htl_20 - validation/test/accuracy/total__MIN","curr/cfq/bleu_htl_20 - validation/test/accuracy/total__MAX","curr/cfq/bleu_etl_20 - validation/test/accuracy/total","curr/cfq/bleu_etl_20 - validation/test/accuracy/total__MIN","curr/cfq/bleu_etl_20 - validation/test/accuracy/total__MAX","curr/cfq/bleu_amb_20 - validation/test/accuracy/total","curr/cfq/bleu_amb_20 - validation/test/accuracy/total__MIN","curr/cfq/bleu_amb_20 - validation/test/accuracy/total__MAX"
"1906","0.24883021390374332","0.24883021390374332","0.24883021390374332","0.08614639037433156","0.08614639037433156","0.08614639037433156","0.16427139037433156","0.16427139037433156","0.16427139037433156","0.3483455882352941","0.3483455882352941","0.3483455882352941","0.30272393048128343","0.30272393048128343","0.30272393048128343","0.07419786096256685","0.07419786096256685","0.07419786096256685","0.10645053475935828","0.10645053475935828","0.10645053475935828","0.2778241978609626","0.2778241978609626","0.2778241978609626","0.06492312834224599","0.06492312834224599","0.06492312834224599","0.14739304812834225","0.14739304812834225","0.14739304812834225"
"1976","0.24565508021390375","0.24565508021390375","0.24565508021390375","0.08648061497326204","0.08648061497326204","0.08648061497326204","0.16702874331550802","0.16702874331550802","0.16702874331550802","0.3564505347593583","0.3564505347593583","0.3564505347593583","0.29879679144385024","0.29879679144385024","0.29879679144385024","0.07553475935828877","0.07553475935828877","0.07553475935828877","0.10076871657754011","0.10076871657754011","0.10076871657754011","0.3046457219251337","0.3046457219251337","0.3046457219251337","0.06667780748663102","0.06667780748663102","0.06667780748663102","0.1381183155080214","0.1381183155080214","0.1381183155080214"
"2047","0.2923629679144385","0.2923629679144385","0.2923629679144385","0.11271724598930481","0.11271724598930481","0.11271724598930481","0.20947526737967914","0.20947526737967914","0.20947526737967914","0.34375","0.34375","0.34375","0.3145889037433155","0.3145889037433155","0.3145889037433155","0.10728609625668449","0.10728609625668449","0.10728609625668449","0.14396724598930483","0.14396724598930483","0.14396724598930483","0.2963736631016043","0.2963736631016043","0.2963736631016043","0.09876336898395723","0.09876336898395723","0.09876336898395723","0.17304478609625668","0.17304478609625668","0.17304478609625668"
"2118","0.3003008021390374","0.3003008021390374","0.3003008021390374","0.12775735294117646","0.12775735294117646","0.12775735294117646","0.2298629679144385","0.2298629679144385","0.2298629679144385","0.3483455882352941","0.3483455882352941","0.3483455882352941","0.31116310160427807","0.31116310160427807","0.31116310160427807","0.10703542780748664","0.10703542780748664","0.10703542780748664","0.14530414438502673","0.14530414438502673","0.14530414438502673","0.3159258021390374","0.3159258021390374","0.3159258021390374","0.11689505347593583","0.11689505347593583","0.11689505347593583","0.1912600267379679","0.1912600267379679","0.1912600267379679"
"2188","0.29211229946524064","0.29211229946524064","0.29211229946524064","0.13820187165775402","0.13820187165775402","0.13820187165775402","0.24256350267379678","0.24256350267379678","0.24256350267379678","0.34893048128342247","0.34893048128342247","0.34893048128342247","0.34558823529411764","0.34558823529411764","0.34558823529411764","0.11956885026737968","0.11956885026737968","0.11956885026737968","0.16460561497326204","0.16460561497326204","0.16460561497326204","0.32737299465240643","0.32737299465240643","0.32737299465240643","0.12215909090909091","0.12215909090909091","0.12215909090909091","0.17605280748663102","0.17605280748663102","0.17605280748663102"
"2259","0.3074866310160428","0.3074866310160428","0.3074866310160428","0.12917780748663102","0.12917780748663102","0.12917780748663102","0.2446524064171123","0.2446524064171123","0.2446524064171123","0.3608790106951872","0.3608790106951872","0.3608790106951872","0.3289605614973262","0.3289605614973262","0.3289605614973262","0.12040441176470588","0.12040441176470588","0.12040441176470588","0.14630681818181818","0.14630681818181818","0.14630681818181818","0.3225267379679144","0.3225267379679144","0.3225267379679144","0.12190842245989304","0.12190842245989304","0.12190842245989304","0.17053810160427807","0.17053810160427807","0.17053810160427807"
"2330","0.3231116310160428","0.3231116310160428","0.3231116310160428","0.13143382352941177","0.13143382352941177","0.13143382352941177","0.22869318181818182","0.22869318181818182","0.22869318181818182","0.359375","0.359375","0.359375","0.34199532085561496","0.34199532085561496","0.34199532085561496","0.1287600267379679","0.1287600267379679","0.1287600267379679","0.16519050802139038","0.16519050802139038","0.16519050802139038","0.3140040106951872","0.3140040106951872","0.3140040106951872","0.131600935828877","0.131600935828877","0.131600935828877","0.16886697860962566","0.16886697860962566","0.16886697860962566"
"2400","0.31224933155080214","0.31224933155080214","0.31224933155080214","0.14496991978609625","0.14496991978609625","0.14496991978609625","0.24122660427807488","0.24122660427807488","0.24122660427807488","0.36614304812834225","0.36614304812834225","0.36614304812834225","0.32937834224598933","0.32937834224598933","0.32937834224598933","0.12516711229946523","0.12516711229946523","0.12516711229946523","0.16151403743315507","0.16151403743315507","0.16151403743315507","0.31600935828877","0.31600935828877","0.31600935828877","0.1290942513368984","0.1290942513368984","0.1290942513368984","0.17814171122994651","0.17814171122994651","0.17814171122994651"
"2471","0.3079044117647059","0.3079044117647059","0.3079044117647059","0.13377339572192512","0.13377339572192512","0.13377339572192512","0.23671457219251338","0.23671457219251338","0.23671457219251338","0.3549465240641711","0.3549465240641711","0.3549465240641711","0.3216076203208556","0.3216076203208556","0.3216076203208556","0.11589237967914438","0.11589237967914438","0.11589237967914438","0.17989639037433156","0.17989639037433156","0.17989639037433156","0.31224933155080214","0.31224933155080214","0.31224933155080214","0.12491644385026739","0.12491644385026739","0.12491644385026739","0.20203877005347592","0.20203877005347592","0.20203877005347592"
"2541","0.3335561497326203","0.3335561497326203","0.3335561497326203","0.2035427807486631","0.2035427807486631","0.2035427807486631","0.29161096256684493","0.29161096256684493","0.29161096256684493","0.35920788770053474","0.35920788770053474","0.35920788770053474","0.34099264705882354","0.34099264705882354","0.34099264705882354","0.18332219251336898","0.18332219251336898","0.18332219251336898","0.23880347593582887","0.23880347593582887","0.23880347593582887","0.32829211229946526","0.32829211229946526","0.32829211229946526","0.2014538770053476","0.2014538770053476","0.2014538770053476","0.2655414438502674","0.2655414438502674","0.2655414438502674"
