"Step","cogs/curr_sort_chia_htl_10 - validation/gen/accuracy/total","cogs/curr_sort_chia_htl_10 - validation/gen/accuracy/total__MIN","cogs/curr_sort_chia_htl_10 - validation/gen/accuracy/total__MAX","cogs/curr_sort_chia_etl_10 - validation/gen/accuracy/total","cogs/curr_sort_chia_etl_10 - validation/gen/accuracy/total__MIN","cogs/curr_sort_chia_etl_10 - validation/gen/accuracy/total__MAX","cogs/curr_sort_chia_amb_10 - validation/gen/accuracy/total","cogs/curr_sort_chia_amb_10 - validation/gen/accuracy/total__MIN","cogs/curr_sort_chia_amb_10 - validation/gen/accuracy/total__MAX","cogs_full_42 - validation/gen/accuracy/total","cogs_full_42 - validation/gen/accuracy/total__MIN","cogs_full_42 - validation/gen/accuracy/total__MAX","curr_sort/cogs/ip_htl_10 - validation/gen/accuracy/total","curr_sort/cogs/ip_htl_10 - validation/gen/accuracy/total__MIN","curr_sort/cogs/ip_htl_10 - validation/gen/accuracy/total__MAX","curr_sort/cogs/ip_etl_10 - validation/gen/accuracy/total","curr_sort/cogs/ip_etl_10 - validation/gen/accuracy/total__MIN","curr_sort/cogs/ip_etl_10 - validation/gen/accuracy/total__MAX","curr_sort/cogs/ip_amb_10 - validation/gen/accuracy/total","curr_sort/cogs/ip_amb_10 - validation/gen/accuracy/total__MIN","curr_sort/cogs/ip_amb_10 - validation/gen/accuracy/total__MAX","curr_sort/cogs/bl_htl_10 - validation/gen/accuracy/total","curr_sort/cogs/bl_htl_10 - validation/gen/accuracy/total__MIN","curr_sort/cogs/bl_htl_10 - validation/gen/accuracy/total__MAX","curr_sort/cogs/bl_etl_10 - validation/gen/accuracy/total","curr_sort/cogs/bl_etl_10 - validation/gen/accuracy/total__MIN","curr_sort/cogs/bl_etl_10 - validation/gen/accuracy/total__MAX","curr_sort/cogs/bl_amb_10 - validation/gen/accuracy/total","curr_sort/cogs/bl_amb_10 - validation/gen/accuracy/total__MIN","curr_sort/cogs/bl_amb_10 - validation/gen/accuracy/total__MAX"
"684","0.3475238095238095","0.3475238095238095","0.3475238095238095","0.252047619047619","0.252047619047619","0.252047619047619","0.36428571428571427","0.36428571428571427","0.36428571428571427","0.38752380952380955","0.38752380952380955","0.38752380952380955","0.2490952380952381","0.2490952380952381","0.2490952380952381","0.22014285714285714","0.22014285714285714","0.22014285714285714","0.34995238095238096","0.34995238095238096","0.34995238095238096","0.34785714285714286","0.34785714285714286","0.34785714285714286","0.23066666666666666","0.23066666666666666","0.23066666666666666","0.18442857142857144","0.18442857142857144","0.18442857142857144"
"717","0.4238571428571429","0.4238571428571429","0.4238571428571429","0.26361904761904764","0.26361904761904764","0.26361904761904764","0.3282380952380952","0.3282380952380952","0.3282380952380952","0.3535238095238095","0.3535238095238095","0.3535238095238095","0.362","0.362","0.362","0.261","0.261","0.261","0.3386190476190476","0.3386190476190476","0.3386190476190476","0.41333333333333333","0.41333333333333333","0.41333333333333333","0.21638095238095237","0.21638095238095237","0.21638095238095237","0.23295238095238094","0.23295238095238094","0.23295238095238094"
"749","0.30438095238095236","0.30438095238095236","0.30438095238095236","0.26252380952380955","0.26252380952380955","0.26252380952380955","0.33285714285714285","0.33285714285714285","0.33285714285714285","0.3127142857142857","0.3127142857142857","0.3127142857142857","0.4112857142857143","0.4112857142857143","0.4112857142857143","0.21914285714285714","0.21914285714285714","0.21914285714285714","0.3392857142857143","0.3392857142857143","0.3392857142857143","0.41233333333333333","0.41233333333333333","0.41233333333333333","0.22714285714285715","0.22714285714285715","0.22714285714285715","0.29514285714285715","0.29514285714285715","0.29514285714285715"
"782","0.3474285714285714","0.3474285714285714","0.3474285714285714","0.25776190476190475","0.25776190476190475","0.25776190476190475","0.3574761904761905","0.3574761904761905","0.3574761904761905","0.367952380952381","0.367952380952381","0.367952380952381","0.3599047619047619","0.3599047619047619","0.3599047619047619","0.29304761904761906","0.29304761904761906","0.29304761904761906","0.3440952380952381","0.3440952380952381","0.3440952380952381","0.29704761904761906","0.29704761904761906","0.29704761904761906","0.26061904761904764","0.26061904761904764","0.26061904761904764","0.34476190476190477","0.34476190476190477","0.34476190476190477"
"815","0.36876190476190474","0.36876190476190474","0.36876190476190474","0.30323809523809525","0.30323809523809525","0.30323809523809525","0.35642857142857143","0.35642857142857143","0.35642857142857143","0.35938095238095236","0.35938095238095236","0.35938095238095236","0.3578571428571429","0.3578571428571429","0.3578571428571429","0.24561904761904763","0.24561904761904763","0.24561904761904763","0.3841428571428571","0.3841428571428571","0.3841428571428571","0.40523809523809523","0.40523809523809523","0.40523809523809523","0.2857619047619048","0.2857619047619048","0.2857619047619048","0.3873809523809524","0.3873809523809524","0.3873809523809524"
"847","0.4250952380952381","0.4250952380952381","0.4250952380952381","0.26757142857142857","0.26757142857142857","0.26757142857142857","0.403","0.403","0.403","0.32442857142857146","0.32442857142857146","0.32442857142857146","0.3271428571428571","0.3271428571428571","0.3271428571428571","0.2684285714285714","0.2684285714285714","0.2684285714285714","0.3384285714285714","0.3384285714285714","0.3384285714285714","0.37557142857142856","0.37557142857142856","0.37557142857142856","0.25776190476190475","0.25776190476190475","0.25776190476190475","0.3086190476190476","0.3086190476190476","0.3086190476190476"
"880","0.42952380952380953","0.42952380952380953","0.42952380952380953","0.27085714285714285","0.27085714285714285","0.27085714285714285","0.31676190476190474","0.31676190476190474","0.31676190476190474","0.36652380952380953","0.36652380952380953","0.36652380952380953","0.39271428571428574","0.39271428571428574","0.39271428571428574","0.30804761904761907","0.30804761904761907","0.30804761904761907","0.4038095238095238","0.4038095238095238","0.4038095238095238","0.37661904761904763","0.37661904761904763","0.37661904761904763","0.2478095238095238","0.2478095238095238","0.2478095238095238","0.3433333333333333","0.3433333333333333","0.3433333333333333"
"913","0.3862380952380952","0.3862380952380952","0.3862380952380952","0.3019047619047619","0.3019047619047619","0.3019047619047619","0.39071428571428574","0.39071428571428574","0.39071428571428574","0.3625238095238095","0.3625238095238095","0.3625238095238095","0.37247619047619046","0.37247619047619046","0.37247619047619046","0.3894285714285714","0.3894285714285714","0.3894285714285714","0.3335714285714286","0.3335714285714286","0.3335714285714286","0.43247619047619046","0.43247619047619046","0.43247619047619046","0.30933333333333335","0.30933333333333335","0.30933333333333335","0.282","0.282","0.282"
"945","0.41519047619047617","0.41519047619047617","0.41519047619047617","0.3272857142857143","0.3272857142857143","0.3272857142857143","0.5006190476190476","0.5006190476190476","0.5006190476190476","0.3099047619047619","0.3099047619047619","0.3099047619047619","0.3557142857142857","0.3557142857142857","0.3557142857142857","0.3848095238095238","0.3848095238095238","0.3848095238095238","0.41333333333333333","0.41333333333333333","0.41333333333333333","0.49623809523809526","0.49623809523809526","0.49623809523809526","0.3171428571428571","0.3171428571428571","0.3171428571428571","0.4054285714285714","0.4054285714285714","0.4054285714285714"
"978","0.4185238095238095","0.4185238095238095","0.4185238095238095","0.2762857142857143","0.2762857142857143","0.2762857142857143","0.38233333333333336","0.38233333333333336","0.38233333333333336","0.368","0.368","0.368","0.36395238095238097","0.36395238095238097","0.36395238095238097","0.29414285714285715","0.29414285714285715","0.29414285714285715","0.394","0.394","0.394","0.40290476190476193","0.40290476190476193","0.40290476190476193","0.27514285714285713","0.27514285714285713","0.27514285714285713","0.24652380952380953","0.24652380952380953","0.24652380952380953"
